src/chess/Cell.java:13:	Avoid short class names like Cell
src/chess/Cell.java:18:	Avoid excessively long variable names like ispossibledestination
src/chess/Cell.java:18:	Field ispossibledestination has the same name as a method
src/chess/Cell.java:18:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:18:	fieldCommentRequirement Required
src/chess/Cell.java:19:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:19:	fieldCommentRequirement Required
src/chess/Cell.java:20:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:20:	fieldCommentRequirement Required
src/chess/Cell.java:21:	Avoid variables with short names like x
src/chess/Cell.java:21:	Avoid variables with short names like y
src/chess/Cell.java:21:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:21:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:21:	To avoid mistakes add a comment at the beginning of the x field if you want a default access modifier
src/chess/Cell.java:21:	Use explicit scoping instead of the default package private level
src/chess/Cell.java:21:	fieldCommentRequirement Required
src/chess/Cell.java:22:	Avoid using redundant field initializer for 'isSelected'
src/chess/Cell.java:22:	Field isSelected has the same name as a method
src/chess/Cell.java:22:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:22:	fieldCommentRequirement Required
src/chess/Cell.java:23:	Avoid using redundant field initializer for 'ischeck'
src/chess/Cell.java:23:	Field ischeck has the same name as a method
src/chess/Cell.java:23:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:23:	fieldCommentRequirement Required
src/chess/Cell.java:26:	Avoid variables with short names like p
src/chess/Cell.java:26:	Avoid variables with short names like x
src/chess/Cell.java:26:	Avoid variables with short names like y
src/chess/Cell.java:26:	It is a good practice to call super() in a constructor
src/chess/Cell.java:26:	Parameter 'p' is not assigned and could be declared final
src/chess/Cell.java:26:	Parameter 'x' is not assigned and could be declared final
src/chess/Cell.java:26:	Parameter 'y' is not assigned and could be declared final
src/chess/Cell.java:26:	publicMethodCommentRequirement Required
src/chess/Cell.java:34:	Avoid using if...else statements without curly braces
src/chess/Cell.java:37:	Avoid using if...else statements without curly braces
src/chess/Cell.java:39:	Avoid using if statements without curly braces
src/chess/Cell.java:40:	Overridable method 'setPiece' called during object construction
src/chess/Cell.java:43:	Comment is too large: Line too long
src/chess/Cell.java:44:	It is a good practice to call super() in a constructor
src/chess/Cell.java:44:	Parameter 'cell' is not assigned and could be declared final
src/chess/Cell.java:44:	publicMethodCommentRequirement Required
src/chess/Cell.java:50:	Avoid using if...else statements without curly braces
src/chess/Cell.java:52:	Avoid using if...else statements without curly braces
